count2019_01,sourcename,ra,dec,Velo,Tsys,Int,Rms1,Vlo1,Vhi1
3498,NGC-3786,174.927,31.9093,2723,37.5,5,4.4,1356,4102
3500,NGC-3800,175.056,15.3424,3299,42.3,5,5.7,1927,4683
3501,NGC-3798,175.058,24.6969,3509,36.0,5,4.6,2135,4895
3502,NGC3801,175.07,17.728,3317,30.8,20,2.0,1945,4701
3504,114033+641003,175.141,64.1675,12591,36.7,10,3.6,11134,14061
3505,NPM1G-17.0312,175.176,-17.6694,6300,73.6,10,8.1,4988,7623
3506,SDSSJ11409+2307,175.225,23.129,10500,44.6,10,4.3,9152,11860
3508,NGC-3809,175.317,59.8858,3443,54.3,10,4.9,2070,4828
3509,PG1138+222,175.317,21.9394,18947,41.8,10,4.3,17430,20478
3511,114117+204953,175.323,20.8314,7177,43.5,5,6.0,5770,8597
3512,114118+354351,175.325,35.7309,6485,51.1,10,4.3,5084,7898
3513,NGC-3815,175.414,24.8004,3711,35.7,5,4.9,2336,5099
3514,NGC3822,175.546,10.2778,6267,36.9,10,3.5,4868,7678
3515,114216+140300,175.57,14.0667,6218,46.5,10,4.4,4820,7629
3516,UGC6666,175.586,16.0109,3087,38.8,10,3.5,1717,4469
3517,J114224+200709,175.602,20.1193,5988,46.5,10,5.1,4592,7397
3518,114250-132933,175.711,-13.4925,9959,43.5,10,3.8,8526,11405
3519,NGC3831,175.827,-12.8783,5264,36.3,10,3.8,3874,6666
3520,114322-191117,175.845,-19.188,9626,49.0,10,4.5,8196,11069
3522,J114331+224331,175.881,22.7254,6902,46.6,10,4.8,5497,8319
3524,UGC6684NOTES01,175.886,31.4578,1813,41.0,10,3.6,454,3184
3525,SDSSJ11437+5500,175.932,55.0054,8100,57.1,5,7.6,6773,9439
3526,114354+075532,175.978,7.92567,5903,39.6,10,4.1,4508,7311
3527,J114358+200437,175.996,20.077,7364,47.0,9,4.9,5955,8786
3528,J1144+3340,176.079,33.6688,9762,36.8,10,3.5,8421,11115
3529,114422+082315,176.095,8.38758,5978,41.0,10,4.1,4582,7387
3530,CGCG012-070,176.12,-3.57086,14473,36.8,10,3.8,12998,15961
3531,UGC6711,176.124,69.7297,2702,34.8,10,3.2,1336,4081
3532,KUG1141+371,176.124,36.8857,11410,42.7,50,1.9,9964,12869
3536,SDSSJ11445+6132,176.137,61.5335,14300,54.6,9,5.6,12919,15694
3537,J114433+263121,176.138,26.5227,8946,48.0,5,7.4,7522,10382
3538,J114439+675721,176.163,67.9559,2708,70.3,8,8.3,1342,4087
3539,114444+331915,176.187,33.3209,9312,49.1,10,4.5,7885,10752
3540,J114450-013604,176.21,-1.60133,8519,38.2,10,4.0,7099,9951
3541,J114452+192715,176.217,19.4543,5468,40.8,18,3.1,4163,6784
3542,114503.7+264940,176.266,26.8277,9020,38.3,10,3.8,7596,10457
3543,NGC3861,176.266,19.9736,5085,43.7,10,3.9,3697,6485
3544,3C264,176.271,19.6064,6511,30.7,20,2.1,5110,7925
3545,NGC-3863,176.273,8.46947,4492,44.2,5,6.0,3109,5887
3547,NGC3858,176.299,-9.31389,5725,35.4,10,3.9,4331,7131
3548,UGC06728,176.316,79.6815,1954,48.1,10,4.1,594,3326
3551,2MASXJ11454045-,176.419,-18.4543,9878,51.4,10,4.7,8446,11323
3552,114542+330916,176.426,33.1544,10362,34.1,10,2.7,8926,11811
3554,NGC3870,176.486,50.1997,756,32.0,10,2.8,-592,2117
3555,NGC3884,176.551,20.3916,7026,31.2,10,3.0,5620,8444
3556,114619-080712,176.58,-8.12,6841,39.0,10,3.7,5437,8258
3557,LCRSB114409.4-0,176.678,-3.70667,14567,36.9,10,3.8,13092,16056
3558,NGC3879,176.706,69.3836,1431,30.3,10,2.6,76,2798
3559,MRK1457,176.84,52.4494,14561,48.7,10,4.3,13086,16050
3560,NGC-3888,176.893,55.9672,2408,51.9,10,4.4,1044,3784
3561,J1147+3347,176.917,33.789,9239,36.7,7,4.1,7902,10588
3562,114743+014934,176.932,1.82625,8693,31.9,10,2.7,7272,10127
3563,IC2961,176.957,31.3447,8318,37.9,10,3.4,6901,9748
3565,2MASXJ11480062+,177.003,29.1225,13988,44.4,10,4.8,12518,15472
3566,IC735,177.053,13.2095,3155,38.7,10,3.9,1785,4538
3568,NGC-3893,177.159,48.7108,973,50.1,8,5.2,-377,2336
3570,MCG+05-28-032,177.191,29.6411,6900,47.4,10,5.0,5495,8317
3572,114904-094348,177.27,-9.73003,5750,40.8,10,3.8,4356,7157
3574,NGC3898,177.315,56.0843,1200,39.4,20,2.5,-152,2565
3575,NGC-3902,177.328,26.1216,3601,35.7,5,4.6,2227,4988
3577,114945+503137,177.44,50.5271,7943,34.2,40,1.6,6529,9370
3579,UGC6805,177.551,42.0744,1158,32.2,10,2.8,-193,2522
3580,UGC6806,177.584,25.9619,3751,32.5,10,3.2,2375,5139
3581,115031+503235,177.63,50.5431,7173,34.8,20,2.4,5766,8593
3582,NGC3921,177.78,55.0786,5850,36.6,30,2.1,4455,7258
3583,NGC3922,177.806,50.157,906,32.0,10,2.9,-443,2268
3584,115131-000303,177.881,-0.051,14090,44.3,20,2.9,12619,15575
3585,J115148+192129,177.952,19.3581,6956,46.9,10,4.8,5550,8373
3586,CGCG127-083,178.083,21.1023,6743,41.2,10,3.7,5340,8159
3588,J1152+2037,178.127,20.6255,6612,67.1,10,7.0,5210,8026
3589,MCG-01-30-041,178.159,-5.20692,5641,39.9,10,3.6,4248,7046
3590,NGC3941,178.231,36.9864,928,38.4,10,3.9,-421,2290
3591,115259-291126,178.247,-29.1905,10273,64.1,10,6.0,8837,11722
3593,ESO320-G030,178.299,-39.1303,3232,77.8,15,7.7,1861,4615
3595,NGC-3945,178.307,60.6756,1220,56.3,5,7.3,-132,2585
3596,SBS1150+583,178.36,58.1124,19355,48.4,10,4.7,17834,20890
3597,115328+594156,178.37,59.6992,10462,36.7,10,3.3,9025,11912
3600,115340+233821,178.417,23.639,7280,40.1,10,3.8,5872,8701
3601,Mrk42,178.424,46.2119,7385,33.9,20,2.6,5976,8807
3602,115343+573951,178.431,57.6644,10233,45.7,10,4.2,8798,11681
3603,J115344+151107,178.436,15.1854,6779,46.1,10,4.9,5375,8195
3604,IC2973,178.461,33.3655,3210,44.4,10,4.2,1839,4593
3605,115401-193408,178.506,-19.5689,1627,49.9,10,4.3,270,2996
3607,J1154+4258,178.623,42.9802,7052,67.2,1,16.5,5734,8382
3609,J1154+3332,178.679,33.5367,9581,36.9,10,3.6,8241,10933
3610,NGC-3963,178.745,58.4936,3186,51.3,10,4.6,1815,4569
3611,115501+320537,178.757,32.0935,9309,33.8,10,3.0,7882,10748
3612,115511.3+061008,178.797,6.169,6965,38.8,10,4.2,5560,8383
3613,115517+172915,178.82,17.4875,6752,40.6,10,3.7,5349,8168
3614,NGC3976,178.989,6.74944,2497,38.1,10,4.2,1132,3874
3615,115606+592529,179.028,59.425,9579,45.2,10,4.1,8150,11021
3616,J115612+212339,179.05,21.3943,7642,47.2,10,4.7,6230,9066
3617,115623.2+195932,179.097,19.9922,12261,36.6,10,3.7,10807,13728
3618,NGC3982,179.118,55.1251,1100,41.3,30,2.3,-251,2464
3619,NGC-3986,179.184,32.0218,3263,42.3,5,5.5,1892,4647
3620,UGC6923,179.206,53.1603,1066,31.8,10,2.9,-285,2430
3621,115704+524903,179.27,52.8177,10670,33.4,10,2.8,9231,12122
3622,NGC-3987,179.337,25.1954,4498,34.9,5,4.7,3115,5893
3623,J1157+0920,179.355,9.34406,10713,31.8,10,3.2,9273,12166
3624,IC748,179.361,7.46083,9745,32.3,10,3.0,8314,11189
3625,115736+321639,179.404,32.2776,3084,38.6,10,3.3,1714,4466
3627,115746+141751,179.442,14.2975,6943,45.8,10,4.2,5538,8361
3629,NGC-3997,179.451,25.2706,4768,34.4,5,4.4,3383,6165
3630,115753.4+415614,179.473,41.9372,14478,43.4,9,4.8,13003,15966
3631,NGC3998,179.485,55.4535,1050,38.7,14,3.3,-301,2414
3632,J1157+2307,179.496,23.1249,6554,69.7,10,8.2,5153,7968
3635,NGC-4014,179.649,16.1773,3760,43.2,5,5.7,2384,5148
3638,J1158+4243,179.717,42.7225,704,69.1,3,12.0,-559,1979
3639,IC751,179.719,42.5703,9353,36.4,9,4.0,7926,10793
3642,115909+000006,179.79,0.00188889,14090,45.2,15,3.3,12619,15575
3643,IC752,179.812,42.5669,9117,27.7,10,2.5,7692,10555
3646,120057-024523,180.24,-2.75653,10487,32.6,10,2.9,9050,11938
3647,120057+064823,180.241,6.80642,10791,45.3,10,4.1,9351,12245
3648,CGCG041-020,180.241,6.80644,10806,40.4,25,2.5,9365,12260
3649,NGC4019,180.293,14.1043,1524,31.3,10,2.7,168,2892
3650,MRK1310,180.31,-3.67806,5820,39.4,10,3.5,4425,7227
3651,NGC-4036,180.362,61.8957,1397,58.1,5,7.9,42,2764
3654,MRK756,180.365,14.0344,1478,42.1,10,3.9,122,2846
3655,120141+044611,180.421,4.76989,6276,34.2,10,3.0,4877,7687
3656,CGCG127-135,180.437,20.3283,7050,43.6,9,4.8,5644,8468
3657,J120156+203728,180.487,20.6247,6800,44.6,10,4.7,5396,8216
3658,120204+351918,180.519,35.3217,10222,34.0,10,3.0,8787,11670
3660,J120204+175447,180.52,17.9132,6819,44.8,10,4.8,5415,8235
3661,J1202+1741,180.535,17.6902,6563,52.3,10,5.1,5162,7977
3662,120210+351355,180.543,35.2319,10077,33.9,10,3.2,8643,11524
3663,J120218+210039,180.575,21.0111,7674,44.2,10,4.8,6262,9098
3664,120222+041947,180.596,4.32975,6420,34.3,10,3.1,5020,7833
3666,120224+145037,180.6,14.8436,7292,49.4,70,2.0,5884,8713
3669,KUG1159+297,180.605,29.4703,3291,46.2,48,2.0,2952,5726
3670,J120233+204855,180.641,20.8155,6677,44.7,10,4.8,5274,8092
3672,120240.1+544700,180.667,54.7834,14670,43.6,10,4.9,13194,16160
3673,J1202+2108,180.702,21.1455,7017,67.8,10,6.9,5611,8435
3674,NGC4048,180.709,18.0156,4814,30.5,10,2.7,3429,6212
3675,NGC-4047,180.711,48.6362,3410,44.6,5,6.1,2037,4795
3676,PGC038055,180.737,-20.9341,6533,40.2,10,4.4,5132,7947
3689,J120351+200310,180.964,20.0528,6671,44.0,10,4.7,5269,8087
3691,J1204+5150,181.045,51.8339,9738,81.1,5,11.7,8397,11091
3693,120428+085332,181.118,8.89239,10257,38.4,10,3.6,8822,11705
3694,ARK347,181.124,20.3162,6729,34.2,10,3.6,5326,8145
3696,J120433+642615,181.141,64.4366,1476,67.1,9,7.6,121,2844
3697,UGC7064,181.18,31.1773,7499,50.5,20,3.2,6089,8922
3699,UGC-7073,181.347,17.886,4375,44.2,5,5.9,2994,5769
3700,J1205+1755,181.348,17.9199,4262,76.8,10,8.6,2882,5655
3701,120524-212357,181.354,-21.3991,9581,53.0,10,4.9,8152,11023
3704,NGC4102,181.596,52.711,846,40.8,10,3.7,-503,2208
3705,NGC4108,181.686,67.1631,2513,37.7,10,3.7,1148,3890
3706,120651-110541,181.712,-11.0947,4544,47.6,10,4.4,3161,5939
3708,NGC4111,181.764,43.0655,800,44.5,20,2.9,-548,2161
3709,SDSSJ12070+0906,181.77,9.11331,10300,45.6,10,4.4,8954,11658
3710,J120709+165944,181.79,16.9956,6668,36.2,10,3.7,5265,8082
3712,J120718+203501,181.827,20.5837,7338,48.6,9,5.2,5930,8759
3713,NGC4117,181.943,43.1263,950,42.4,30,2.5,-400,2313
3715,SBS1205+556,182.019,55.4076,15360,50.4,10,5.0,13877,16857
3716,NGC-4128,182.135,68.7676,2326,60.6,5,7.5,963,3701
3719,NGC4135,182.287,44.0034,11266,35.5,10,3.5,9821,12724
3720,NGC-4134,182.292,29.1768,3825,36.8,5,5.4,2448,5214
3722,Mrk198,182.309,47.0584,7261,33.9,10,3.7,5853,8682
3723,J120915+044807,182.316,4.80222,8857,36.7,10,3.8,7435,10292
3725,NGC4138,182.374,43.6853,888,43.3,33,2.2,-461,2250
3726,J120931+191235,182.381,19.2097,7835,51.0,9,5.7,6422,9261
3727,NGC4143,182.4,42.5341,958,37.9,10,4.4,-392,2321
3728,J1209+2317,182.415,23.2894,6912,68.7,10,7.5,5507,8329
3729,NGC-4148,182.533,35.8776,4975,41.5,5,5.2,3588,6374
3746,NGC-4152,182.656,16.0329,2164,43.2,5,5.7,802,3538
3747,J121041+131952,182.674,13.3313,6802,36.9,10,3.9,5398,8218
3748,KUG1208+386,182.685,38.3361,6833,28.8,10,2.7,5429,8249
3749,NGC4156,182.707,39.4728,6755,28.4,10,2.6,5352,8171
3753,SDSSJ12122+0004,183.062,0.0721944,2400,53.0,10,5.1,1121,3690
3754,NGC4168,183.072,13.2053,2215,37.0,10,3.7,853,3589
3755,NGC-4169,183.078,29.1793,3811,40.2,5,5.1,2435,5200
3756,J1212+2910,183.128,29.1686,4112,74.9,10,7.8,2733,5503
3757,121231+151613,183.13,15.2703,7099,46.1,10,4.3,5693,8518
3758,J121303+070220,183.263,7.03892,2096,33.1,10,3.4,735,3469
3759,J121303+210126,183.264,21.0241,7164,52.0,7,6.2,5757,8584
3760,121309+323547,183.289,32.5963,7459,40.7,10,3.9,6049,8881
3761,NGC-4185,183.342,28.5109,3903,36.4,5,4.8,2526,5292
3762,NGC-4192,183.451,14.9002,-141,44.3,5,5.8,-276,2439
3764,NGC-4193,183.473,13.1729,2474,42.0,5,6.1,2337,5100
3765,121402.3+605712,183.51,60.9532,12674,46.0,9,5.3,11216,14145
3768,PG1211+143,183.574,14.0536,24253,31.2,20,2.2,22685,25835
3770,NGC-4196,183.624,28.4234,3982,37.0,5,4.8,2604,5372
3772,121503-141025,183.763,-14.1736,8481,38.9,10,3.8,7062,9913
3773,NGC4203,183.771,33.1972,1086,35.0,10,3.6,-265,2450
3774,HARO06,183.826,5.76108,2019,39.3,10,3.5,659,3391
3775,J121534+214957,183.893,21.8327,6717,48.7,8,5.8,5314,8132
3776,J121536+215433,183.904,21.9093,6668,47.0,10,5.0,5265,8082
3777,NGC-4212,183.914,13.9014,-80,42.3,5,5.7,-215,2501
3778,NGC-4216,183.977,13.1494,131,43.3,5,5.3,-3,2717
3779,NGC-4221,183.999,66.2308,2842,60.3,5,8.0,1474,4222
3780,IC3078,184,12.6872,19814,43.5,36,2.1,18292,21357
3781,MRK1469,184.03,50.8251,9236,55.3,10,5.4,7810,10675
3782,J121618+174612,184.076,17.7702,8945,36.7,10,3.7,7522,10381
3784,NGC-4224,184.14,7.46214,2603,43.4,5,6.1,2466,5232
3785,J1216+4726,184.204,47.4389,7258,39.7,10,3.9,5938,8590
3786,ESO505-IG030,184.238,-26.2094,11906,40.9,10,4.4,10455,13370
3787,ESO505-IG031,184.25,-26.21,11822,41.1,10,4.3,10372,13285
3788,NGC-4235,184.291,7.19142,2410,44.0,5,5.6,2273,5035
3789,J121737+164338,184.407,16.7275,6699,36.7,10,4.0,5296,8114
3790,Mrk202,184.479,58.6599,6300,34.4,10,3.5,4901,7712
3791,NGC-4246,184.492,7.18586,3725,44.7,5,6.0,3587,6373
3793,121810+442401,184.544,44.4005,11461,34.9,10,3.1,10015,12921
3795,UGC7342,184.58,29.2536,14287,32.7,8,3.6,12814,15773
3796,Mrk766,184.61,29.8128,3876,41.4,10,3.6,2499,5265
3799,UM488,184.611,-0.130639,15115,50.3,10,5.2,13634,16609
3800,NGC-4256,184.679,65.8983,2571,59.6,5,7.7,1206,3948
3801,NGC-4254,184.707,14.4164,2407,40.1,5,5.8,2270,5032
3802,J121850+642110,184.708,64.3529,9235,61.3,9,6.6,7809,10674
3806,NGC4258S,184.739,47.304,466,27.4,4,90.1,-879,1824
3807,NGC4258Snew,184.739,47.304,466,27.1,4,87.6,-879,1824
3810,121857+471814,184.74,47.3039,448,46.0,2,104.1,-897,1806
3822,J1218+0212,184.74,2.20533,8510,36.7,10,3.8,7091,9942
3825,UGC7354,184.791,3.85581,1526,38.6,10,3.4,170,2894
3828,3C270,184.846,5.82531,2238,37.2,20,2.4,876,3612
3831,MS12170+0700,184.879,6.72614,24157,31.7,20,2.2,22590,25739
3832,UGC-7367,184.884,49.8157,4106,44.9,5,5.6,2727,5497
3833,NGC-4271,184.886,56.7366,4752,50.2,8,5.4,3367,6149
3834,NGC4266,184.927,5.53847,1536,50.3,32,2.7,180,2904
3835,NGC4266test,184.931,5.53947,1536,53.5,1,19.6,180,2904
3837,NGC4274,184.961,29.6144,930,38.7,10,4.0,-419,2292
3838,121950.9+273611,184.962,27.6031,14868,41.6,10,4.5,13390,16360
3842,B21217+29,185.028,29.2808,649,31.1,20,1.9,-698,2009
3843,NGC4278,185.029,29.2806,650,43.3,16,3.4,-697,2010
3844,NGC-4284,185.053,58.093,4215,51.0,10,4.7,2835,5607
3845,NGC-4281,185.09,5.38694,2685,45.4,5,6.0,1319,4063
3846,J1220+0534,185.101,5.57275,937,47.0,10,5.1,-413,2299
3847,J122029+101442,185.123,10.2452,9524,45.6,5,6.9,8095,10965
3848,J122047+170057,185.197,17.016,7756,36.9,10,3.9,6344,9181
3849,NGC-4290,185.198,58.0925,3035,52.5,10,4.8,1666,4417
3850,NGC4287,185.202,5.63975,2155,36.5,20,2.4,1882,4637
3851,NGC4289,185.26,3.72192,2618,36.8,16,2.7,2344,5107
3855,122112-005151,185.304,-0.86425,11824,31.1,10,2.9,10374,13287
3857,KUG1218+329,185.326,32.7111,6893,36.3,10,3.2,5488,8310
3858,122118+521203,185.326,52.2011,8570,37.8,10,3.5,7150,10003
3859,122119+544923,185.332,54.8232,11241,35.5,10,3.0,9797,12699
3860,NGC-4296,185.367,6.65419,4227,43.6,5,5.6,2847,5619
3861,1221353+1559001,185.397,15.9835,9994,28.4,10,2.4,8561,11440
3862,HB891219+047,185.408,4.50728,28180,36.7,36,1.7,26577,29803
3863,J122142+143553,185.425,14.5991,1149,54.1,10,5.9,-202,2513
3864,NGC4303,185.479,4.47364,1550,36.3,30,2.0,194,2918
3865,VCC528,185.535,6.10297,7019,35.7,24,2.2,5613,8437
3866,2MASXJ12221536+,185.564,28.3566,8388,46.7,10,5.0,6970,9819
3868,NGC-4312,185.63,15.5379,153,41.5,5,5.3,18,2739
3869,J1222+0308,185.676,3.14181,6925,33.1,10,3.3,5520,8342
3870,NGC-4332,185.695,65.8438,2870,59.4,5,7.5,1502,4250
3871,NGC-4321,185.729,15.8225,1586,42.6,5,5.8,1450,4197
3873,NGC4335,185.758,58.4447,4629,30.6,20,2.1,3245,6025
3876,J1223+0602,185.843,6.04069,7021,45.4,9,5.0,5615,8439
3877,MARK50,185.85,2.67914,6900,63.6,10,6.5,5583,8229
3879,ugc7464,185.923,2.96142,7546,39.0,10,3.8,6136,8969
3880,SBS1221+585,185.928,58.2462,4600,58.3,9,5.7,3303,5909
3881,122346+360910,185.944,36.1528,9997,48.6,10,4.4,8564,11443
3882,NGC-4357,185.995,48.7795,4122,44.8,5,5.9,2743,5513
3883,NGC-4351,186.006,12.205,2310,48.0,5,6.2,947,3685
3884,J1224+1050,186.012,10.8488,7480,76.6,10,8.1,6070,8903
3886,122436+551650,186.15,55.2808,10197,43.7,10,4.3,8762,11645
3887,J122436+392258,186.151,39.3831,1045,40.8,10,4.5,-221,2323
3888,122438+013243,186.161,1.54528,7665,55.8,10,5.2,6254,9089
3889,M84,186.266,12.887,1017,52.4,10,5.7,-333,2380
3890,3C272.1,186.266,12.8869,1060,31.3,20,2.0,-291,2424
3892,J1225+0519,186.273,5.32906,2044,46.7,10,4.6,684,3416
3893,2MASXJ12251310+,186.305,32.2339,17691,31.3,10,3.1,16186,19210
3894,NGC4376,186.325,5.74108,1136,37.5,5,4.9,-215,2500
3895,NGC4378,186.325,4.92525,2559,39.8,10,4.0,1194,3936
3897,2MASXJ12252546+,186.356,28.9441,19246,32.5,10,3.6,17726,20780
3898,J122532+500207,186.384,50.0353,7291,43.4,8,4.8,5971,8623
3900,122536+450501,186.401,45.0839,11502,35.3,10,3.0,10055,12962
3902,NGC-4385,186.427,0.573306,2140,54.3,5,6.7,779,3513
3916,122546+123942,186.445,12.6619,2528,40.9,10,3.7,1163,3905
3917,NGC4395,186.454,33.5467,319,42.1,10,3.8,-1025,1676
3918,UGC7522,186.495,3.42725,1426,40.0,20,2.5,1154,3896
3919,122600-032755,186.501,-3.46522,7494,33.6,10,3.0,6084,8917
3920,MS12235+2522,186.517,25.1105,20086,32.9,20,2.4,18558,21628
3921,NGC-4402,186.531,13.1128,237,47.2,5,5.8,-1106,1593
3923,NGC-4413,186.634,12.611,102,46.4,5,6.0,-32,2687
3924,NGC4412,186.65,3.96472,2294,40.5,10,4.3,931,3669
3925,122654-005239,186.728,-0.877583,2098,33.3,10,3.1,737,3471
3926,NGC-4419,186.735,15.0475,-260,81.3,5,14.6,-395,2318
3929,NGC4421,186.76,15.4614,1603,30.8,10,2.9,247,2971
3930,122718+511029,186.827,51.1749,9100,36.6,10,3.3,7675,10538
3931,J122720+644805,186.835,64.8015,2664,67.6,11,7.2,1298,4043
3932,NGC-4429,186.861,11.1075,1137,47.3,5,6.1,-214,2501
3933,NGC-4438,186.94,13.0089,69,44.2,5,5.8,-65,2654
3934,2MASXJ12275875+,186.995,28.8292,15063,32.1,10,3.1,13583,16557
3936,NGC-4450,187.123,17.0849,1956,42.8,5,5.7,1819,4573
3942,IC3405,187.248,37.7301,11981,38.4,10,3.2,10530,13446
3944,NGC-4459,187.25,13.9786,1203,41.6,5,5.5,1067,3807
3946,NGC-4461,187.263,13.1838,1918,43.6,5,9.4,1782,4535
3948,VCC1175,187.326,10.1358,70,36.0,4,5.4,-1272,1425
3949,IC3414,187.37,6.77197,543,30.6,10,2.8,-803,1902
3950,NGC-4477,187.509,13.6364,1348,42.8,5,5.8,1212,3955
3953,J123034+011624,187.643,1.27344,9315,37.9,9,4.4,7888,10754
3955,NGC4486,187.707,12.3913,1300,38.6,10,8.3,-53,2666
3957,123106+522451,187.778,52.4144,11987,34.6,10,3.0,10536,13452
3958,NGC-4500,187.842,57.9646,3115,51.1,8,5.0,1745,4497
3959,J123140+035534,187.92,3.92631,4533,37.6,10,4.1,3150,5928
3960,J1231+4755,187.945,47.9276,9147,38.4,10,3.8,7811,10495
3961,2MASXJ12314747+,187.947,34.2672,6832,29.2,10,2.7,5428,8248
3963,IC797,187.978,15.1239,2097,34.2,10,3.0,736,3470
3965,NGC4501test,187.996,14.4197,2300,32.6,0,16.0,937,3675
3968,NGC4501,187.997,14.4206,2300,32.4,30,1.7,937,3675
3969,1232103+7649199,188.043,76.8222,12851,35.0,10,3.1,11392,14324
3970,1232103,188.043,76.8222,12851,40.9,5,5.3,11392,14324
3971,123225+361742,188.107,36.295,10253,48.4,10,4.3,8818,11701
3972,SDSSJ12326+6624,188.156,66.4145,14000,51.6,6,6.2,12622,15391
3974,ARK377,188.356,13.233,7295,29.8,10,3.0,5887,8716
3975,123351-210345,188.464,-21.0625,6757,52.9,10,5.1,5354,8173
3979,NGC-4531,188.566,13.0755,195,47.5,5,6.1,-1148,1551
3981,NGC-4535,188.585,8.19806,1957,45.6,5,5.9,597,3329
3982,NGC-4536,188.613,2.18792,1804,58.5,5,8.0,446,3174
3983,123442+491928,188.675,49.3247,8796,36.3,10,3.4,7374,10231
3984,NGC4507,188.903,-39.9093,3538,109.8,40,10.9,2164,4924
3985,123537+035318,188.907,3.88853,11888,50.7,10,4.4,10438,13352
3986,MESSIER089,188.916,12.5564,340,39.8,10,3.9,-1004,1697
3987,J123542-001254,188.927,-0.215167,7007,39.4,10,4.2,5601,8425
3988,2MASXJ12354871+,188.953,29.1942,19052,31.6,10,3.3,17534,20584
3989,MCG+07-26-030,188.966,38.3761,3916,33.3,10,3.1,2539,5306
3990,NGC-4565,189.087,25.9877,1227,41.2,5,5.2,-125,2592
3991,NGC-4567,189.137,11.2586,2268,47.1,5,5.9,906,3643
3992,NGC-4568,189.143,11.2386,2255,48.2,5,6.6,893,3629
3994,J123638+242543,189.159,24.4288,6927,41.1,10,4.2,5522,8344
3997,NGC4569,189.208,13.1629,-249,40.7,12,3.4,-1589,1102
3998,NGC-4570,189.222,7.24781,1730,44.5,5,5.7,372,3100
4000,NGC-4578,189.378,9.55528,2287,45.7,5,5.7,924,3662
4001,IC3600,189.421,27.1295,4637,27.0,10,2.4,3253,6033
4003,IC3599,189.422,26.7078,6459,33.6,20,2.3,5059,7872
4004,NGC4579,189.431,11.818,1500,33.9,30,1.8,144,2868
4007,J1237+0522,189.452,5.3685,1036,46.9,10,5.4,-314,2399
4009,123805+012839,189.521,1.47775,1843,59.1,10,5.1,484,3214
4010,J1238+0419,189.618,4.31914,780,47.3,10,5.5,-568,2141
4011,ESO506-027,189.727,-27.3078,7502,62.1,25,4.4,6092,8925
4012,J1239-1610,189.776,-16.18,10995,48.8,40,2.7,9553,12451
4013,NGC4592,189.828,-0.531972,1069,32.1,10,2.8,-282,2433
4014,123918-214933,189.829,-21.8258,8148,44.0,10,4.3,6732,9577
4015,J1239+1635,189.899,16.5879,7796,49.0,10,5.0,6383,9221
4016,J123939+071007,189.913,7.16878,7251,37.0,10,4.0,5843,8671
4018,NGC4593,189.914,-5.34422,2698,47.7,10,4.2,1332,4077
4019,KUG1237+405,189.938,40.2469,16124,29.7,10,2.6,14634,17628
4020,123950-230440,189.962,-23.0777,5776,51.4,10,4.9,4382,7183
4021,J1239+3458,189.965,34.9749,12918,37.4,10,3.6,11549,14299
4022,NGC-4605,189.997,61.6092,143,59.8,5,7.5,-1200,1498
4023,MESSIER104,189.998,-11.6231,1024,37.5,10,4.0,-326,2387
4024,124042-201841,190.178,-20.3114,8223,44.4,10,4.3,6806,9652
4028,J1240+0803,190.229,8.0565,14347,31.0,10,3.2,12874,15834
4031,NGC-4617,190.274,50.3935,4655,45.8,5,6.1,3271,6051
4033,J124113+223541,190.308,22.595,8610,42.8,10,4.4,7190,10043
4034,124120+300718,190.334,30.1218,8132,38.4,10,3.6,6716,9561
4035,J1241+1343,190.356,13.7296,6128,75.3,10,8.9,4731,7538
4036,NGC-4614,190.381,26.0431,4817,41.5,5,5.5,3431,6215
4037,NGC4615,190.405,26.0727,4716,27.0,10,2.4,3331,6113
4038,J124144+350345,190.436,35.0627,6928,36.2,10,3.9,5523,8346
4039,NGC4631,190.533,32.5414,606,41.4,10,3.4,-741,1965
4041,NGC4628,190.605,-6.97117,2828,36.6,10,4.0,1460,4208
4043,2MASXJ12423600+,190.65,78.1222,6625,76.7,8,9.0,5223,8040
4045,J124240+141744,190.671,14.2959,297,51.8,10,5.4,-1047,1654
4047,NGC4636,190.708,2.68775,938,60.5,10,6.4,-411,2300
4048,NGC4639,190.719,13.2569,300,61.0,10,5.9,-960,1572
4049,124303-011657,190.762,-1.28272,7195,33.9,10,3.3,5788,8615
4050,NGC-4643,190.834,1.97833,1399,56.7,5,7.3,44,2766
4051,J124321+111212,190.84,11.2034,8428,46.7,10,4.9,7010,9860
4053,124329+292800,190.87,29.4668,9356,42.4,10,3.7,7929,10796
4054,IC3704,190.94,10.7701,8694,27.5,10,2.3,7273,10128
4055,MRK220,190.95,54.8961,4933,33.7,10,2.9,3546,6332
4056,J124351+130813,190.967,13.1368,900,38.0,10,4.0,-449,2262
4057,124408+483839,191.036,48.6444,4676,38.1,10,3.6,3292,6073
4058,J124437-100459,191.157,-10.0831,2392,42.0,10,4.5,1028,3768
4059,J124442+404044,191.178,40.679,5039,36.6,10,3.8,3652,6439
4060,IC3730,191.277,21.1695,6697,25.9,10,2.5,5294,8112
4061,12450791-082305,191.283,-8.38472,7894,42.0,10,3.8,6480,9320
4062,NGC-4666,191.286,-0.461889,1520,52.8,5,7.2,164,2888
4063,2MASXJ12453537+,191.397,28.762,6983,34.8,10,3.9,5578,8401
