MPA_index,is_maser,z,v_disp,kcor_mag_rband,D4000,H_alpha_flux,OIII_5007_flux,HaHb,O3Hb,N2Ha,S2Ha,O1Ha,maser_lum,maser_morphology
728107,0,0.008089473471045494,24.102354049682617,18.967723846435547,0.0,67.1388931274414,25.394784927368164,0.4778762850896242,0.0556466471001962,-0.8121254597532173,-0.45661041960141663,-1.208059313083569,0.0,0
504140,0,0.008074790239334106,99.60932922363281,14.68936538696289,0.0,1572.3834228515625,764.3828735351562,0.5584122228149603,0.24516471413319352,-0.3423379877718055,-0.4288624621474365,-0.8919141391109461,0.0,0
729465,0,0.026250552386045456,85.2282485961914,17.032371520996094,1.8229384422302246,334.1330261230469,252.98516845703125,0.6945814676018762,0.5737571245511401,-0.031192128932325824,-0.19706098052450782,-1.0538219293212108,0.0,0
582750,0,0.02419278770685196,86.08674621582031,17.211957931518555,1.9244929552078247,146.81048583984375,17.5983829498291,0.7012084326936739,-0.22007587924693608,-0.2235693884006107,-0.23101914001757942,-1.1509700568264392,0.0,0
360381,0,0.029086453840136528,212.61895751953125,15.390628814697266,1.9130921363830566,635.8764038085938,128.0386962890625,0.76250645149,0.06647498550554908,0.21600213345655322,-0.14123517194773333,-0.9909205685469938,0.0,0
727668,0,0.024402562528848648,103.15422821044922,16.429563522338867,1.5099143981933594,3673.525390625,406.56781005859375,0.7235822393174365,-0.2323678161573329,-0.2808707039670283,-0.5714014977468971,-1.6393535717301748,0.0,0
582517,0,0.020832672715187073,124.27386474609375,16.206077575683594,2.0798699855804443,455.3007507324219,175.38356018066406,0.6169103200366366,0.20260083537910348,0.21279653467585916,0.11589114500882532,-0.5480041889784939,0.0,0
728314,0,0.023878464475274086,106.95606231689453,15.915912628173828,1.6260584592819214,636.0118408203125,155.75164794921875,0.6683753226678257,0.057342772016495076,-0.019207537183033894,-0.28594352340167245,-1.2073866480833984,0.0,0
297292,0,0.014345099218189716,86.20217895507812,15.586782455444336,0.0,482.828369140625,92.90167236328125,0.6316099954599343,-0.08415925220360629,0.005195652027905711,-0.22115608804032372,-1.0578731833521873,0.0,0
297336,0,0.013280469924211502,112.93563842773438,15.963075637817383,0.0,361.10357666015625,216.54745483398438,0.6050408354001472,0.38296212901507903,0.22772872273881822,0.06429125180498685,-0.5844680544727617,0.0,0
783822,0,0.024801215156912804,70.42748260498047,16.969074249267578,1.462820291519165,957.5782470703125,426.7303771972656,0.7286626000279387,0.3776418878298506,-0.46455063014084486,-0.6824052541059648,-1.4043552807715332,0.0,0
617750,0,0.024510148912668228,84.48548126220703,17.166297912597656,2.005213975906372,57.34921646118164,157.8658447265625,0.362455713074639,0.8022164021991666,0.2787333074457707,-0.1906631912384039,-0.48608384483193945,0.0,0
693015,0,0.024256190285086632,42.04984664916992,17.761903762817383,1.7407186031341553,67.7823257446289,61.6259765625,0.7032836510059756,0.6619309991857864,0.2413141524240043,-0.19440178721252477,-0.7483886598761011,0.0,0
617816,0,0.027720224112272263,62.184669494628906,17.730785369873047,1.8498432636260986,37.96366882324219,57.31353759765625,0.48729211873173817,0.6661811580685045,-0.2485131701486485,-0.1292473225647487,-0.807446621327418,0.0,0
870132,0,0.013724833726882935,100.27019500732422,15.988069534301758,0.0,1572.94580078125,86.56661224365234,0.6350914996506253,-0.6242718368074234,-0.40713825297834705,-0.6089895227784581,-1.6953225666122493,0.0,0
723913,0,0.018503205850720406,63.93150329589844,17.0322322845459,1.7816457748413086,153.29466247558594,39.84000778198242,0.6566787241657921,0.07147110521027766,-0.25221400854006454,-0.2012010260881954,-1.3302803787541075,0.0,0
