mcp_count,source,ra,dec,velo,date_obs,tsys,int,Rms1,Vlo1,Vhi1
212,NGC274,12.7575,-7.056939999999999,1750,2009.996,40.5,10,3.5,392,3120
213,UGC524,12.89579,29.40139000000001,10779,2016.178,38.2,10,3.9,9429,12142
214,IRAS00494-3056,12.96588,-30.66664,15529,2013.258,54,13,5.8,14044,17027
215,MRK1148,12.97837,17.432920000000006,19200,2009.163,34.9,10,3.0,17681,20734
216,NGC279,13.0375,-2.21833,3889,2005.839,68.2,5,9.2,3751,6540
217,2MFGC00638,13.23338,15.7855,15604,2014.055,43.9,10,4.4,14119,17103
218,UGC540,13.242920000000002,29.0325,4982,2010.16,41,10,3.7,3595,6382
220,NGC291,13.37471,-8.76778,5705,2011.141,34.9,70,1.2,4311,7111
221,IZW1,13.39542,12.69336,17658,2011.183,38.5,20,2.6,16153,19177
222,005420-233309,13.58542,-23.5525,9680,2008.919,56.5,10,5.2,8250,11123
223,UGC556,13.70954,29.24667,4629,2010.364,36.4,10,3.4,3245,6025
224,PG0052+251,13.71696,25.42742,46303,2016.2,48.2,8,5.9,44627,47996
225,CGCG501-043,13.84458,30.48722,5149,2004.036,37.7,32,1.9,4802,7612
226,005539+144625,13.91371,14.77364,11991,2006.186,32.4,10,3.0,10539,13456
227,UGC575,14.04187,31.07353,4666,2003.31,48.7,28,3.1,3282,6063
228,NGC307,14.13583,-1.77194,4002,2005.839,68.2,5,9.3,3864,6655
229,TONS180,14.33425,-22.38225,18581,2011.194,33.1,20,2.3,17068,20109
230,3C29,14.395370000000002,-1.39111,13500,2004.297,41.7,20,2.6,12034,14979
232,NGC0315,14.45379,30.3525,4942,2013.258,39.4,13,3.7,3555,6341
233,005800-001727,14.50196,30.3525,13190,2006.358,33.7,10,3.0,11727,14666
234,2MASXJ00584070+,14.669579999999998,8.79911,17269,2010.2,43.4,10,3.8,15768,18784
235,NGC334,14.7075,-35.116,9210,2003.899,56.7,36,3.1,7784,10649
236,J0059+0100,14.767129999999998,1.00111,5346,2014.928,74.4,10,8.2,3955,6749
237,0059135-0222416,14.80629,-2.37819,13335,2010.925,49.6,10,4.3,11871,14813
238,UGC615,14.91708,15.33111,5507,2012.103,84.7,10,8.1,4115,6912
239,005942+005459,14.9255,15.33111,5396,2006.329,46,10,4.3,4005,6799
240,J005950-073438,14.95871,-7.5779999999999985,1646,2014.928,81.8,10,9.4,289,3015
241,MRK352,14.972079999999998,31.82692,4459,2009.144,38.5,10,3.5,3077,5854
242,NGC338,15.15171,30.66894000000001,4778,2006.899,39.8,5,5.5,3393,6176
243,IRAS00579+3003,15.160379999999998,30.31633,5186,2004.06,30.7,28,1.6,4839,7649
244,J0100-0911,15.19096,-9.18572,4541,2014.928,81.6,10,9.0,3158,5937
245,010053+152728,15.22325,15.45786,11991,2006.186,32.6,10,2.9,10539,13456
246,IC-65,15.23104,47.68197,2614,2006.928,34.5,5,4.5,1248,3992
247,J010119-095042,15.331129999999998,-9.84525,4595,2013.105,41.6,10,4.6,3211,5991
248,UM082,15.33542,6.91417,15289,2014.055,46.9,10,4.8,13807,16785
249,NGC351,15.49083,-1.93669,4194,2005.839,68.2,5,9.1,4055,6851
250,2MASXJ01021132+,15.54721,14.50608,17122,2014.055,42.4,10,4.4,15622,18636
251,CGCG520-008,15.628329999999998,34.27583,11322,2010.16,33.7,10,2.8,9877,12781
