MPA_index,is_maser,z,v_disp,kcor_mag_rband,D4000,H_alpha_flux,OIII_5007_flux,HaHb,O3Hb,N2Ha,S2Ha,O1Ha,maser_lum,maser_morphology,Classify1,Classify2,Classify3,Optical_class
317580,0,0.00953325442969799,16.514226913452152,19.551401138305664,0.0,21.622339248657227,9.715413093566896,0.9093502223081896,0.5619088165504339,-0.593115604293067,-0.16024874623419014,-0.8243256128668072,0.0,0,Composite,Seyfert,Seyfert,Ambiguous
358820,0,0.02766469493508339,182.4182281494141,16.586408615112305,1.7999993562698364,663.0653076171875,114.9342269897461,0.7610148861697205,-9.204027410178948e-05,0.012539980471545451,0.017419040996499983,-0.6507950015179975,0.0,0,AGN,LINER,LINER,LINER
881884,0,0.02384842000901699,162.91314697265625,16.225763320922848,1.5803807973861694,2048.87060546875,113.48914337158205,0.8537864411853144,-0.4027737726922108,-0.13925080469334725,-0.4918253328123574,-1.4294894019729194,0.0,0,Composite,HII,HII,HII
781669,0,0.016995316371321678,62.54838180541992,17.40669059753418,1.6057053804397583,433.0279541015625,18.57193946838379,0.7869775155354357,-0.5806811580868652,-0.4387133281241761,-0.5736823321897273,-1.5417432801244235,0.0,0,HII,HII,HII,HII
710873,0,0.02796808443963528,169.88502502441406,15.351341247558596,1.917482614517212,974.1226806640624,83.77503967285156,0.6114652197822178,-0.4540337932598214,-0.16654291300561208,-0.35382772549381897,-1.3340449863294883,0.0,0,Composite,HII,HII,HII
36721,0,0.022740095853805545,50.63417434692383,17.550695419311527,1.3278861045837402,550.5768432617189,32.625808715820305,0.545996122905957,-0.6812605329207155,-0.5125984554758609,-0.5114719116783862,-1.9133422235268944,0.0,0,HII,HII,HII,HII
627101,0,0.02743382751941681,109.83658599853516,15.821868896484375,1.8234601020812988,142.83285522460938,45.18251419067383,0.7390748771512079,0.2392171530023889,0.1730258453463407,0.10842178111811676,-0.7094427018064201,0.0,0,HII,LINER,LINER,Ambiguous
358801,0,0.029873944818973538,154.64193725585938,16.402153015136722,2.049217700958252,287.54815673828125,237.25091552734372,0.5209288975421333,0.4374262065461013,0.06500667225982876,-0.027648043061715172,-0.8252784657969275,0.0,0,HII,LINER,Seyfert,Ambiguous
704574,0,0.023455239832401283,77.90003204345703,16.716094970703125,1.4347127676010132,1370.9580078125,51.33729553222656,0.7124482539689301,-0.7141429125218903,-0.4676855332768854,-0.6479503840210697,-1.6561023414370777,0.0,0,HII,HII,HII,HII
701592,0,0.030712317675352093,91.92977142333984,16.176929473876953,1.4505993127822876,1523.8170166015625,760.74462890625,0.6499218388345575,0.3482279145518548,-0.3002477735349038,-0.4829448057459879,-1.3960053890606676,0.0,0,Composite,HII,HII,HII
717306,0,0.03732952475547791,80.73646545410156,16.99545669555664,1.8196516036987305,112.36632537841795,36.03439712524414,0.6159917734105489,0.12207285515921867,-0.0016100208547089932,-0.08546969885556673,-1.050429140339682,0.0,0,AGN,LINER,Seyfert,Ambiguous
129561,0,0.041025806218385696,100.137451171875,17.625959396362305,1.6041808128356934,223.9097442626953,11.7281494140625,0.7070464871373091,-0.5737970166384047,-0.4251349980559313,-0.4872481219824008,-1.6223140654476695,0.0,0,HII,HII,HII,HII
358757,0,0.027622077614068985,135.93365478515622,16.649160385131836,1.8672587871551516,526.0560302734375,83.32008361816406,0.5366729063095138,-0.26360939992665,-0.4066803633804878,-0.21261017605761254,-0.7009954987985849,0.0,0,HII,HII,LINER,Ambiguous
703750,0,0.02323146723210812,86.07731628417969,16.459112167358402,1.6813724040985107,546.4424438476561,71.05900573730469,0.8211065818577534,-0.06481871658366302,-0.06473058810195892,-0.1812910942068197,-0.946580994134446,0.0,0,Composite,LINER,LINER,Ambiguous
703779,0,0.022874698042869568,0.0,19.18408966064453,1.3540743589401243,105.09942626953124,177.5521697998047,0.494229242279403,0.7219548810513993,-0.2892532517076861,-0.17221360509590258,-0.8802113896312648,0.0,0,AGN,Seyfert,Seyfert,Seyfert
